"EnumerationType","EnumerationValue","Description","Status","Recommended","Deprecates"
"ServiceType_t","AMGA","[Central service] gLite metadata catalogue. This service only needs to be installed on the request of a VO.","Deprecated","org.glite.AMGA",
"ServiceType_t","APEL","[Site service] This is a ""dummy"" Service Type to enable the monitoring tests for APEL accounting. All sites must have one instance of this Service Type, associated with a CE. ","Recommended",,
"ServiceType_t","ARC-CE","[Site service] The Compute Element within the ARC middleware stack.","Deprecated","org.nordugrid.arex",
"ServiceType_t","BDII","glite/LCG BDII ldap server (generic) ","Recommended",,
"ServiceType_t","bdii_site","glite/LCG BDII ldap server (site-level info) ","Recommended",,"Site-BDII"
"ServiceType_t","bdii_top","glite/LCG BDII ldap server (grid-wide info) ","Recommended",,"Top-BDII"
"ServiceType_t","CE","[Site service] The LCG Compute Element. Currently the standard CE 
within the gLite middleware stack. Soon to be replaced by the CREAM CE. ","Recommended",,
"ServiceType_t","ch.cern.cvmfs.stratum.0","Service component (stratum.0) of CernVM file system http://cernvm.cern.ch/portal/filesystem","Recommended",,
"ServiceType_t","ch.cern.cvmfs.stratum.1","Service component (stratum.1) of CernVM file system http://cernvm.cern.ch/portal/filesystem","Recommended",,
"ServiceType_t","CREAM-CE"," [Site service] The CREAM Compute Element is the new CE within the gLite middleware stack.","Deprecated","org.glite.ce.CREAM",
"ServiceType_t","egi.GRIDVIEW","[Central service] The central gridview portal","Recommended",,
"ServiceType_t","egi.GSTAT","[Central service] The central GStat portal","Recommended",,
"ServiceType_t","egi.MetricsPortal","[Central service] The central metrics portal","Recommended",,
"ServiceType_t","egi.NetworkPortal","[Central service] The central network portal","Recommended",,
"ServiceType_t","egi.OpsPortal","[Central service] The central operations portal","Recommended",,
"ServiceType_t","eu.egi.AccountingPortal","[Central service] The central accounting portal","Recommended",,
"ServiceType_t","eu.egi.APELRepository","[Central service] The central APEL repository","Recommended",,
"ServiceType_t","eu.egi.GGUS","[Central service] The central GGUS","Recommended",,
"ServiceType_t","eu.egi.GOCDB","[Central service] The central GOCDB","Recommended",,
"ServiceType_t","eu.egi.MSGBroker","[Central service] The central message broker","Recommended",,
"ServiceType_t","FTS","[Central service] The gLite File Transfer Service manages the transfer
 of files between sites. This service only needs to be installed on the 
request of a VO.","Deprecated","org.glite.fts",
"ServiceType_t","gLExec","[Site service] A light-weight gatekeeper to authenticate and authorize credentials according to local site policy and execute commands. https://www.nikhef.nl/pub/projects/grid/gridwiki/index.php/GLExec","Recommended",,
"ServiceType_t","gLite-APEL","[Site service] The gLite-APEL hosts the site Accounting client (3.2 replacement of the MonBox)","Recommended",,
"ServiceType_t","Globus-GSISSHD","certificate based interactive login service for the Globus middleware stack","Deprecated","org.globus.gsissh",
"ServiceType_t","GRAM5","job submission service for Globus version 5.x (GRAM5)","Deprecated","org.globus.gram",
"ServiceType_t","hu.guse.ws-pgrade","WS-PGRADE/gUSE-based science gateway deployment","Recommended",,
"ServiceType_t","LB","[Central service] gLite Logging and Bookkeeping. Usually installed by 
sites running a WMS. One LB service can support several WMS instances.","Deprecated","org.glite.lb",
"ServiceType_t","MDS-GIIS","old Globus MDS GIIS ldap server ","Recommended",,
"ServiceType_t","MyProxy","MyProxy Server","Recommended",,
"ServiceType_t","ngi.OpsPortal","[Regional service] NGI-level regional operations portal instance ","Recommended",,
"ServiceType_t","OpenSSH","ssh server ","Recommended",,
"ServiceType_t","org.dcache.storage","<missing>","Recommended",,
"ServiceType_t","org.glite.AMGA","glite metadata catalogue ","Recommended",,"AMGA"
"ServiceType_t","org.glite.argus","Argus service","Deprecated
Obsolete","org.glite.Argus",
"ServiceType_t","org.glite.Argus","Argus Authorization Service","Recommended",,"org.glite.argus"
"ServiceType_t","org.glite.Argus.PAP","Argus PAP (Policy Administration Point) service","Recommended",,
"ServiceType_t","org.glite.Argus.PDP","Argus PDP (Policy Decision Point) service","Recommended",,
"ServiceType_t","org.glite.Argus.PEP","Argus PEP Server (Policy Enforcement Point) service","Recommended",,
"ServiceType_t","org.glite.ce.CREAM","CREAM CE job submission web service","Recommended",,"CREAM-CE"
"ServiceType_t","org.glite.ce.Monitor","CREAM CE CEMon web service","Recommended",,
"ServiceType_t","org.glite.FiremanCatalog",,"Obsolete",,
"ServiceType_t","org.glite.fts","gLite file transfer service","Recommended",,"FTS"
"ServiceType_t","org.glite.lb","gLite Logging and Booking Service","Recommended",,"LB"
"ServiceType_t","org.glite.Metadata",,"Obsolete",,
"ServiceType_t","org.glite.SEIndex",,"Obsolete",,
"ServiceType_t","org.glite.voms","VOMS server, primary interface ","Recommended",,"VOMS"
"ServiceType_t","org.glite.wms","gLite Workload Management Service","Recommended",,"WMS"
"ServiceType_t","org.globus.gram","job submission service for Globus","Recommended",,"GRAM5"
"ServiceType_t","org.globus.gsissh","certificate based interactive login service for the Globus middleware stack","Recommended",,"Globus-GSISSHD"
"ServiceType_t","org.irods.irods3","An Integrated Rule-Oriented Data System for grids, Version 3.","Recommended",,
"ServiceType_t","org.irods.irods4","An Integrated Rule-Oriented Data System for grids, Version 4.","Recommended",,
"ServiceType_t","org.irods.irods3.icat","iRODS metadata catalog server Version 3.","Recommended",,
"ServiceType_t","org.irods.irods4.icat","iRODS metadata catalog server Version 4.","Recommended",,
"ServiceType_t","org.irods.irods3.resource","iRODS resource server Version 3.","Recommended",,
"ServiceType_t","org.irods.irods4.resource","iRODS resource server Version 4.","Recommended",,
"ServiceType_t","org.lcg.Frontier","LCG-packaged Frontier database interface ","Recommended",,
"ServiceType_t","org.lcg.Squid","LCG-packaged squid database cache ","Recommended",,
"ServiceType_t","org.nordugrid.arex","NorduGrid Resource Coupled Execution Service","Recommended",,"ARC-CE
org.nordugrid.execution.arex
org.nordugrid.information.aris"
"ServiceType_t","org.nordugrid.egiis","ARC Enhanced Grid Information Indexing Service","Recommended",,
"ServiceType_t","org.nordugrid.execution.arex","ARC Resource-coupled EXecution service","Deprecated","org.nordugrid.arex",
"ServiceType_t","org.nordugrid.information.aris","ARC Resource-level Information System service","Deprecated
Obsolete","org.nordugrid.arex",
"ServiceType_t","org.nordugrid.isis","NorduGrid Information Index Service","Obsolete
Recommended",,
"ServiceType_t","org.nordugrid.storage","NorduGrid Storage Service","Recommended",,
"ServiceType_t","org.ogf.bes.BESFactory",,"Recommended",,
"ServiceType_t","org.ogf.bes.BESManagement",,"Recommended",,
"ServiceType_t","org.ogf.glue.emir","recommended but needs to be explained","Recommended",,
"ServiceType_t","org.qcg.broker","QosCosGrid metascheduling service","Recommended",,"QCG.Broker"
"ServiceType_t","org.qcg.computing","QosCosGrid computing element","Recommended",,"QCG.Computing"
"ServiceType_t","org.qcg.notification","QosCosGrid notification broker","Recommended",,"QCG.Notification"
"ServiceType_t","org.teragrid.condor-g","TeraGrid Condor-g","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.globus-mds4","TeraGrid Globus MDS 4","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.gpfs","TeraGrid GPFS","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.gridftp","TeraGrid Gridftp","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.openssh","TeraGrid gsi-enabled openssh","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.prewsgram","TeraGrid pre-WS Globus GRAM","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.rft","TeraGrid Reliable File Transfer","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.srb","TeraGrid Storage Resource Broker","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.ws-delegation","TeraGrid WS-Delegation Service","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.ws-gram","TeraGrid WS-GRAM Service","Deprecated
Obsolete",,
"ServiceType_t","org.teragrid.ws-ogsadai","TeraGrid OGSA-DAI","Deprecated
Obsolete",,
"ServiceType_t","pbs.torque.maui ","PBS batch system ","Recommended",,
"ServiceType_t","pbs.torque.server ","PBS batch system ","Recommended",,
"ServiceType_t","QCG.Broker","QosCosGrid resource management and brokering service. ","Deprecated","org.qcg.broker",
